Name	Rearrangement	Support
S175|IGHV1-2*01|IGHD2-21*01|IGHJ1*01	V1-2*01,J1*01	0.9999959704332735
S157|IGHV1-2*01|IGHD1-7*01|IGHJ1*01	V1-2*01,J1*01	0.9999917479725762
S171|IGHV1-2*01|IGHD2-2*01|IGHJ3*01	V1-2*01,J3*01	0.7296378236023852
S171|IGHV1-2*01|IGHD2-2*01|IGHJ3*01	V1-2*01,J3*02	0.2703565437511022
S200|IGHV1-2*01|IGHD3-22*01|IGHJ2*01	V1-2*01,J2*01	0.9999998238326602
S182|IGHV1-2*01|IGHD2-8*01|IGHJ2*01	V1-2*01,J2*01	0.9999944716485943
S167|IGHV1-2*01|IGHD2-15*01|IGHJ5*01	V1-2*01,J5*01	0.8224669852078873
S167|IGHV1-2*01|IGHD2-15*01|IGHJ5*01	V1-2*01,J5*02	0.0665776863321659
S167|IGHV1-2*01|IGHD2-15*01|IGHJ5*01	V1-2*01,J?	0.1084206773723978
S24|IGHV1-18*01|IGHD1-7*01|IGHJ6*01	V1-18*01,J6*01	0.1972103384900968
S24|IGHV1-18*01|IGHD1-7*01|IGHJ6*01	V1-18*03,J6*01	0.198112763814072
S24|IGHV1-18*01|IGHD1-7*01|IGHJ6*01	V1-18*04,J6*01	0.6023727330490294
S162|IGHV1-2*01|IGHD1-7*01|IGHJ6*01	V1-2*01,J6*01	0.9974548948962971
S156|IGHV1-2*01|IGHD1-26*01|IGHJ6*01	V1-2*01,J6*01	0.9969091690273412
S91|IGHV1-18*01|IGHD5-12*01|IGHJ1*01	V1-18*01,J1*01	0.9989107667865426
S17|IGHV1-18*01|IGHD1-26*01|IGHJ5*01	V1-18*01,J5*01	0.6801056642967857
S17|IGHV1-18*01|IGHD1-26*01|IGHJ5*01	V1-18*01,J5*02	0.3198814583952221
S164|IGHV1-2*01|IGHD2-15*01|IGHJ2*01	V1-2*01,J2*01	0.9999950764896808
S196|IGHV1-2*01|IGHD3-16*01|IGHJ4*01	V1-2*01,J1*01	0.464173144343128
S196|IGHV1-2*01|IGHD3-16*01|IGHJ4*01	V1-2*01,J4*01	0.164882989517008
S196|IGHV1-2*01|IGHD3-16*01|IGHJ4*01	V1-2*01,J5*01	0.365252988245243
S181|IGHV1-2*01|IGHD2-8*01|IGHJ1*01	V1-2*01,J1*01	0.5093764958011071
S181|IGHV1-2*01|IGHD2-8*01|IGHJ1*01	V1-2*01,J4*01	0.03866032628274267
S181|IGHV1-2*01|IGHD2-8*01|IGHJ1*01	V1-2*01,J4*02	0.4446519051122843
S168|IGHV1-2*01|IGHD2-15*01|IGHJ6*01	V1-2*01,J6*01	0.9990856436014057
S1|IGHV1-18*01|IGHD1-1*01|IGHJ1*01	V1-18*01,J1*01	0.2602049753564367
